R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,45039889,0,45039889,0,45039889,0,45039889,0,0
2,45176744,0.029411765,45176922,0,45176922,0,45176922,0,0
3,45028671,0,45028671,0,45028671,0,45028671,0,0
4,45102009,0.029411765,45104132,0.029411765,45103822,0,45103822,0,0
5,44985019,0,44985019,0,44985019,0,44985019,0,0
6,45193864,0.029411765,45193864,0.029411765,45193864,0.029411765,45193864,0.029411765,0.029411765
7,45015625,0.029411765,45028725,0,45028725,0,45028725,0,0
8,44962790,0.029411765,44966923,0,44966923,0,44966923,0,0
9,45017281,0,45017281,0,45017281,0,45017281,0,0
10,45079059,0.058823529,45098486,0.029411765,45098486,0.029411765,45098486,0.029411765,0.029411765
11,45248233,0.029411765,45250347,0,45250347,0,45250347,0,0
12,44898586,0,44898586,0,44898586,0,44898586,0,0
13,45095290,0.029411765,45098852,0,45098852,0,45098852,0,0
14,45073971,0,45073971,0,45073971,0,45073971,0,0
15,45109259,0,45109259,0,45109259,0,45109259,0,0
16,45337956,0.058823529,45342669,0.029411765,45341615,0,45341615,0,0
17,45325331,0.029411765,45328959,0,45328959,0,45328959,0,0
18,45099484,0,45099484,0,45099484,0,45099484,0,0
19,45112384,0,45112384,0,45112384,0,45112384,0,0
20,44981215,0,44983066,0.029411765,44981215,0,44981215,0,0
