R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,QFM_QS,QFM_FN
1,2821932,0.08823529411764706,2822180,0.058823529411764705,2819812,0.08823529411764706
2,2866630,0.029411764705882353,2867178,0.058823529411764705,2852572,0.11764705882352941
3,2849550,0.08823529411764706,2850836,0.058823529411764705,2850763,0.058823529411764705
4,2775803,0.08823529411764706,2779331,0.0,2778007,0.029411764705882353
5,2805671,0.14705882352941177,2806917,0.11764705882352941,2805704,0.14705882352941177
6,2810608,0.058823529411764705,2810697,0.08823529411764706,2807417,0.08823529411764706
7,2823549,0.17647058823529413,2823549,0.17647058823529413,2823003,0.14705882352941177
8,2825798,0.08823529411764706,2826986,0.029411764705882353,2825289,0.029411764705882353
9,2827684,0.08823529411764706,2828237,0.0,2826703,0.058823529411764705
10,2842931,0.08823529411764706,2842931,0.08823529411764706,2821428,0.08823529411764706
11,2848228,0.08823529411764706,2848620,0.058823529411764705,2847799,0.029411764705882353
12,2813723,0.08823529411764706,2816238,0.08823529411764706,2794344,0.08823529411764706
13,2796304,0.11764705882352941,2798796,0.11764705882352941,2798796,0.11764705882352941
14,2837036,0.08823529411764706,2837036,0.08823529411764706,2837036,0.08823529411764706
15,2790699,0.11764705882352941,2791255,0.08823529411764706,2791255,0.08823529411764706
16,2805795,0.058823529411764705,2808115,0.029411764705882353,2807724,0.11764705882352941
17,2863666,0.11764705882352941,2865048,0.08823529411764706,2863571,0.08823529411764706
18,2782236,0.08823529411764706,2782236,0.08823529411764706,2781713,0.029411764705882353
19,2833089,0.029411764705882353,2835387,0.058823529411764705,2835062,0.029411764705882353
20,2777036,0.14705882352941177,2780904,0.11764705882352941,2780418,0.14705882352941177
