R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN
1,22580510,0.0,22580510,0.0,22580510,0.0,22580510,0.0
2,22557463,0.0,22557463,0.0,22557463,0.0,22557463,0.0
3,22457754,0.058823529411764705,22458442,0.058823529411764705,22458442,0.058823529411764705,22458442,0.058823529411764705
4,22413224,0.029411764705882353,22420106,0.0,22420106,0.0,22420106,0.0
5,22616654,0.058823529411764705,22616773,0.029411764705882353,22615736,0.0,22615736,0.0
6,22660287,0.029411764705882353,22660287,0.029411764705882353,22660287,0.029411764705882353,22660287,0.029411764705882353
7,22563189,0.058823529411764705,22566548,0.0,22566548,0.0,22566548,0.0
8,22397108,0.0,22397108,0.0,22397108,0.0,22397108,0.0
9,22505795,0.058823529411764705,22512973,0.029411764705882353,22512973,0.029411764705882353,22512973,0.029411764705882353
10,22596795,0.058823529411764705,22604999,0.029411764705882353,22604999,0.029411764705882353,22604999,0.029411764705882353
11,22711017,0.08823529411764706,22726265,0.0,22546329,0.058823529411764705,22546329,0.058823529411764705
12,22467617,0.029411764705882353,22467617,0.029411764705882353,22467617,0.029411764705882353,22467617,0.029411764705882353
13,22510172,0.029411764705882353,22515307,0.0,22515307,0.0,22515307,0.0
14,22506060,0.058823529411764705,22513418,0.0,22338115,0.029411764705882353,22338115,0.029411764705882353
15,22481050,0.058823529411764705,22482028,0.029411764705882353,22478842,0.0,22478842,0.0
16,22487324,0.029411764705882353,22488081,0.0,22488081,0.0,22488081,0.0
17,22541964,0.029411764705882353,22541964,0.029411764705882353,22539010,0.0,22539010,0.0
18,22464888,0.058823529411764705,22478271,0.0,22478271,0.0,22478271,0.0
19,22531100,0.029411764705882353,22543440,0.0,22543440,0.0,22543440,0.0
20,22551656,0.058823529411764705,22556891,0.029411764705882353,22556891,0.029411764705882353,22556891,0.029411764705882353
